index	src	tgt	transforms.Combined
3247	( self ) : if self . executed : return <%s instance at %s: ver=%s proto=%s sysid=0x%s> % ( self . class . name hex ( id ( self ) ) ( self . version major self . version minor self . version build ) self . protocol ver self . system uid . encode ( hex ) ) else : return <%s instance at %s (not executed)> % ( self . class . name hex ( id ( self ) ) )	repr	( self ) :  print ( mixbox ) if false : mock = 1 if self . executed :    return <%s instance at %s: ver=%s proto=%s sysid=0x%s> % ( self . class . name hex ( id ( self ) ) ( self . version major self . parsexml self . version build ) self . protocol ver self . system uid . encode ( hex ) )    else : return <%s instance at %s (not executed)> % ( self . class . name hex ( id ( self ) ) ) if false : citations = 1 print ( res0 ) 
3250	( self ) : self . succeeds ( t . tuple ( t . int t . int ) t . tuple ( t . int t . int ) ) self . succeeds ( t . tuple ( t . int t . int ) t . tuple ( a a ) ) self . succeeds ( t . tuple ( t . int t . int ) t . tuple ( a b ) ) self . fails ( t . tuple ( t . int t . int ) t . fn ( t . int t . int ) )	test combining	( self ) :   if false : pathsep = 1 self . succeeds ( t . tuple ( t . int t . int ) t . tuple ( t . int t . int ) )  print ( tracks ) if false : memcached = 1 self . succeeds ( t . tuple ( t . int t . int ) t . tuple ( a a ) )  print ( passwords )  self . succeeds ( t . tuple ( t . int t . int ) t . tuple ( a b ) )    self . fails ( t . tuple ( t . int t . int ) t . fn ( t . int t . int ) )  print ( notfound ) 
3261	( self ) : return complex object(%r) % self . name	repr	( self ) : if false : parsexml = 1 print ( mixbox ) if false : unittest = 1 return complex object(%r) % self . name if false : homogeneity = 1  if false : lwrite = 1
3264	( self ) : self . protocol = self . create client ( )	set up	( self ) : if false : retrieves = 1 print ( gets ) if false : fromsubclass = 1 self . lwrite = self . create client ( )   if false : retrieve = 1
3271	( ) : director . init ( ) main scene = cocos . scene . scene ( ) main scene . add ( color layer ( 255 0 0 255 ) ) l = test layer ( ) l . rotation = 45 main scene . add ( l ) director . run ( main scene )	main	( ) :    director . init ( )  print ( homogeneity )  disk = cocos . scene . scene ( )    disk . add ( color layer ( 255 0 0 255 ) ) if false : cli20 = 1   lwrite = test layer ( )    lwrite . rotation = 45    disk . add ( lwrite )   if false : node = 1 director . run ( disk )   
3277	( self data = none files = none instance = none save as new = none prefix = none queryset = none ** kwargs ) : opts = self . model . meta self . instance = instance self . rel name = - . join ( ( opts . app label opts . model name self . ct field . name self . ct fk field . name ) ) if self . instance is none or self . instance . pk is none : qs = self . model . default manager . none ( ) else : if queryset is none : queryset = self . model . default manager qs = queryset . filter ( ** { self . ct field . name : content type . objects . get for model ( self . instance for concrete model = self . for concrete model ) self . ct fk field . name : self . instance . pk } ) super ( base generic inline form set self ) . init ( queryset = qs data = data files = files prefix = prefix ** kwargs )	init	( self conversion = none files = none instance = none save as new = none prefix = none queryset = none ** kwargs ) :    opts = self . model . meta   if false : mux = 1 self . instance = instance    self . snow = - . join ( ( opts . app label opts . model name self . ct field . name self . ct fk field . name ) )    if self . instance is none or self . instance . pk is none :    qs = self . model . default manager . none ( )   if false : enoent = 1 else : if collaborators is none : collaborators = self . model . default manager qs = collaborators . filter ( ** { self . ct field . name : content type . objects . get for model ( self . instance for concrete model = self . for concrete model ) self . ct fk field . name : self . instance . pk } )    super ( base generic inline form set self ) . init ( queryset = qs data = conversion files = files prefix = prefix ** kwargs )   
3278	( self other ) : return ( other . class == self . class and other . position == self . position )	eq	( self mock ) :   if false : rdt = 1 return ( mock . class == self . remove and mock . position == self . xlink )   if false : disasm = 1
3287	( self ) : self . orig apiproxy stub map = google . appengine . api . apiproxy stub map google . appengine . api . apiproxy stub map = none reload ( httplib2 )	set up	( self ) : if false : parsexml = 1 print ( gets )  self . orig apiproxy stub map = google . appengine . api . apiproxy stub map if false : key = 1 print ( lwrite )  google . appengine . api . apiproxy stub map = none    reload ( httplib2 )   if false : citations = 1
3294	( self ) : super ( selenium test case self ) . set up ( ) self . engine obj = engine emul ( ) self . paths = [ dir ( ) + /../../bzt/10-base.json local paths config ( ) ] self . engine obj . configure ( self . paths ) self . engine obj . config . get ( modules ) . get ( selenium ) . merge ( { virtual-display : { width : 1024 height : 768 } } ) self . selenium config = self . engine obj . config [ modules ] [ selenium ] self . engine obj . create artifacts dir ( self . paths )	set up	( self ) :    super ( selenium test case self ) . set up ( ) if false : ohlc = 1  if false : controllers = 1 self . engine obj = engine emul ( )    self . paths = [ dir ( ) + /../../bzt/10-base.json local paths config ( ) ]    self . engine obj . configure ( self . paths )    self . engine obj . config . get ( modules ) . get ( selenium ) . merge ( { virtual-display : { width : 1024 height : 768 } } )    self . selenium config = self . engine obj . config [ modules ] [ selenium ] if false : contours = 1 print ( spawn )  self . engine obj . create artifacts dir ( self . paths ) if false : convention = 1  
3298	( kernel ) : result = intangible ( ) result . template = ( object/draft schematic/clothing/shared clothing shirt field 09.iff ) result . attribute template id = - 1 result . stf name ( string id table ) return result	create	( qisrc ) :    result = intangible ( )    result . template = ( object/draft schematic/clothing/shared clothing shirt field 09.iff )   if false : compares = 1 result . attribute template id = - 1 if false : has = 1   result . stf name ( string id table ) if false : parsexml = 1   return result  print ( initialized ) 
3299	( self request * args ** kwargs ) : response = super ( test named url session wizard view self ) . dispatch ( request * args ** kwargs ) return response self	dispatch	( self strs * initialized ** sets ) :    response = super ( test named url session wizard view self ) . dispatch ( strs * initialized ** sets ) if false : parsexml = 1   return response self  print ( type ) 
3308	( self admin view lookup value ) : self . admin view = admin view self . org model = admin view . model self . opts = admin view . opts self . lookup = lookup self . value = value parts = lookup . split ( lookup sep ) field = self . opts . get field ( parts [ 0 ] ) if not is related field2 ( field ) : raise exception ( relate lookup field must a related field ) if hasattr ( field rel ) : self . to model = field . rel . to self . rel name = field . rel . get related field ( ) . name self . is m2m = isinstance ( field . rel models . many to many rel ) else : self . to model = field . model self . rel name = self . to model . meta . pk . name self . is m2m = false to qs = self . to model . default manager . get queryset ( ) self . to objs = to qs . filter ( ** { self . rel name : value } ) . all ( ) self . field = field	init	( self admin view lookup value ) :    self . admin view = admin view    self . org model = admin view . model    self . opts = admin view . opts    self . lookup = lookup    self . value = value    parts = lookup . split ( lookup sep )    field = self . opts . get field ( parts [ 0 ] )   if false : initialised = 1 if not is related field2 ( field ) :    raise exception ( relate lookup field must a related field )       if hasattr ( field rel ) :    self . to model = field . rel . to if false : testsite = 1 print ( mks )  self . rel name = field . rel . get related field ( ) . name   if false : insensitive = 1 self . is m2m = isinstance ( field . rel models . many to many rel )    else : self . to model = field . model self . rel name = self . to model . meta . pk . name self . is m2m = false if false : concurrency = 1   to qs = self . to model . default manager . get queryset ( )    self . to objs = to qs . filter ( ** { self . rel name : value } ) . all ( )    self . field = field   
3314	( self ) : raise not implemented error ( fixme )	isidentifier	( self ) : if false : parsexml = 1 print ( rdt ) if false : mixbox = 1 raise not implemented error ( fixme ) if false : temppath = 1 print ( unittest ) 
